ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,group
04069,8600000US04069,04069,59192593,38368,7
02766,8600000US02766,02766,72033222,3885970,7
01843,8600000US01843,01843,8726312,579700,7
21231,8600000US21231,21231,2256183,384066,7
02180,8600000US02180,02180,15589596,1631897,7
48224,8600000US48224,48224,14852844,0,7
48141,8600000US48141,48141,16194529,1610,7
48088,8600000US48088,48088,11490617,0,7
49902,8600000US49902,49902,816800,0,7
56661,8600000US56661,56661,1017453009,26405918,7
56313,8600000US56313,56313,378663,0,7
56575,8600000US56575,56575,389253377,37064707,7
56479,8600000US56479,56479,512877572,9784864,7
49880,8600000US49880,49880,560327375,2205209,7
56671,8600000US56671,56671,571805703,15721366,7
55114,8600000US55114,55114,3369285,77979,7
38965,8600000US38965,38965,636101400,18471639,7
56075,8600000US56075,56075,151505,0,7
39437,8600000US39437,39437,434496231,2160985,7
39063,8600000US39063,39063,251294074,598149,7
39736,8600000US39736,39736,7014879,0,7
38631,8600000US38631,38631,11893694,45948,7
63127,8600000US63127,63127,16301134,230319,7
63077,8600000US63077,63077,224781924,641987,7
64066,8600000US64066,64066,4281439,24736,7
64833,8600000US64833,64833,506308,0,7
69166,8600000US69166,69166,2090693921,6588424,7
03825,8600000US03825,03825,119405111,5024033,7
89815,8600000US89815,89815,1630404548,4481199,7
03217,8600000US03217,03217,28461370,1379234,7
68717,8600000US68717,68717,58868954,3590,7
03445,8600000US03445,03445,51812084,489879,7
88424,8600000US88424,88424,2216232540,2320386,7
88005,8600000US88005,88005,127405444,398656,7
08084,8600000US08084,08084,4010049,0,7
88435,8600000US88435,88435,4730189901,2759061,7
87104,8600000US87104,87104,11006027,913334,7
07506,8600000US07506,07506,8634576,78862,7
10009,8600000US10009,10009,1598861,0,7
12983,8600000US12983,12983,545191949,53331718,7
10162,8600000US10162,10162,30073,0,7
11422,8600000US11422,11422,5134763,181662,7
11558,8600000US11558,11558,3884334,1346967,7
13069,8600000US13069,13069,277701202,9551073,7
12943,8600000US12943,12943,266782285,1434185,7
10177,8600000US10177,10177,5421,0,7
10466,8600000US10466,10466,5218622,5385,7
11106,8600000US11106,11106,2219776,36652,7
59635,8600000US59635,59635,186844337,319380,7
59868,8600000US59868,59868,468649275,19187468,7
59254,8600000US59254,59254,703421955,364565,7
68402,8600000US68402,68402,85624419,0,7
59525,8600000US59525,59525,866095927,3465208,7
28504,8600000US28504,28504,320882264,1672189,7
28711,8600000US28711,28711,258784118,1439701,7
27265,8600000US27265,27265,108965899,3199705,7
28159,8600000US28159,28159,6384359,0,7
28043,8600000US28043,28043,164105204,323876,7
11501,8600000US11501,11501,5308398,0,7
28756,8600000US28756,28756,232663157,1593215,7
58330,8600000US58330,58330,435279461,4037120,7
58854,8600000US58854,58854,1565814032,61337001,7
45855,8600000US45855,45855,688240,0,7
58204,8600000US58204,58204,20643952,0,7
10453,8600000US10453,10453,2371502,6524,7
14211,8600000US14211,14211,10488144,17591,7
13643,8600000US13643,13643,93794,0,7
73572,8600000US73572,73572,716009117,5461728,7
73016,8600000US73016,73016,164625829,1882622,7
43787,8600000US43787,43787,194829275,3129108,7
74637,8600000US74637,74637,485437992,4965391,7
15650,8600000US15650,15650,193336444,251949,7
17247,8600000US17247,17247,376662,0,7
97639,8600000US97639,97639,212412274,1134716,7
97864,8600000US97864,97864,844549370,0,7
17730,8600000US17730,17730,437726,0,7
19070,8600000US19070,19070,2807421,0,7
15007,8600000US15007,15007,865606,0,7
15663,8600000US15663,15663,2543195,0,7
15541,8600000US15541,15541,93121695,673624,7
18083,8600000US18083,18083,1586876,50283,7
15531,8600000US15531,15531,152782405,488144,7
15617,8600000US15617,15617,1140915,6564,7
15673,8600000US15673,15673,1398121,142950,7
16239,8600000US16239,16239,510545754,441388,7
43565,8600000US43565,43565,469978,0,7
43336,8600000US43336,43336,208990,0,7
44120,8600000US44120,44120,13762405,109426,7
43403,8600000US43403,43403,531800,0,7
15055,8600000US15055,15055,1737046,34067,7
02838,8600000US02838,02838,3703228,221915,7
29038,8600000US29038,29038,207790906,917873,7
29910,8600000US29910,29910,266872353,36653381,7
29101,8600000US29101,29101,279028851,2752818,7
57243,8600000US57243,57243,309074793,15666677,7
29445,8600000US29445,29445,151483207,9278588,7
37377,8600000US37377,37377,193251948,168919,7
37324,8600000US37324,37324,186577689,470749,7
37326,8600000US37326,37326,5027627,0,7
38329,8600000US38329,38329,280477136,7074744,7
37201,8600000US37201,37201,790276,160327,7
38452,8600000US38452,38452,137567103,0,7
19550,8600000US19550,19550,4183756,11435,7
16422,8600000US16422,16422,3565315,77991,7
15334,8600000US15334,15334,4910846,0,7
15623,8600000US15623,15623,4507345,0,7
79053,8600000US79053,79053,50092739,815171,7
77864,8600000US77864,77864,519706411,5852159,7
77583,8600000US77583,77583,432094490,8307240,7
76230,8600000US76230,76230,980954997,12043626,7
75460,8600000US75460,75460,234593378,13715657,7
75140,8600000US75140,75140,290749893,5954430,7
78249,8600000US78249,78249,38480787,159080,7
76508,8600000US76508,76508,149411,0,7
75652,8600000US75652,75652,455086082,11199649,7
77430,8600000US77430,77430,289124651,21492023,7
79104,8600000US79104,79104,9927916,111504,7
75901,8600000US75901,75901,418208293,9439824,7
76129,8600000US76129,76129,284925,0,7
76429,8600000US76429,76429,275958788,7676410,7
78722,8600000US78722,78722,3922441,0,7
38365,8600000US38365,38365,949238,222928,7
22802,8600000US22802,22802,234372635,519444,7
23502,8600000US23502,23502,26159125,2234452,7
24054,8600000US24054,24054,278575835,541114,7
23089,8600000US23089,23089,156976950,16549281,7
23803,8600000US23803,23803,187059050,4778598,7
24225,8600000US24225,24225,148954651,1339261,7
23139,8600000US23139,23139,619260438,4913755,7
